train_count,test_count,dropped_train_count,dropped_test_count,feature_groups,feature_count,held_out_session,target_column,mae,rmse,n_estimators,max_depth,min_samples_leaf,max_features,random_seed
291,111,0,0,"movement_summaries,population_context,cell_metadata",26,1,log_firing_rate_hz,0.43509684015343947,0.6734554911639729,48,6,8,sqrt,0
314,88,0,0,"movement_summaries,population_context,cell_metadata",26,2,log_firing_rate_hz,0.3737414428300296,0.4551656573379015,48,6,8,sqrt,0
326,76,0,0,"movement_summaries,population_context,cell_metadata",26,3,log_firing_rate_hz,0.4338971314724393,0.5069489301448445,48,6,8,sqrt,0
293,109,0,0,"movement_summaries,population_context,cell_metadata",26,4,log_firing_rate_hz,0.4113656885170971,0.4820030557280595,48,6,8,sqrt,0
384,18,0,0,"movement_summaries,population_context,cell_metadata",26,5,log_firing_rate_hz,0.3145900082578068,0.38379205681890227,48,6,8,sqrt,0
