session,task_environment,row_count,epoch_count,epoch_duration_sec_mean,epoch_duration_sec_std,epoch_duration_sec_q50,mean_speed_mean,mean_speed_std,mean_speed_q50,std_speed_mean,std_speed_std,std_speed_q50,max_speed_mean,max_speed_std,max_speed_q50,mean_accel_mean,mean_accel_std,mean_accel_q50,std_accel_mean,std_accel_std,std_accel_q50,mean_abs_accel_mean,mean_abs_accel_std,mean_abs_accel_q50,max_abs_accel_mean,max_abs_accel_std,max_abs_accel_q50,speed_q25_mean,speed_q25_std,speed_q25_q50,speed_q50_mean,speed_q50_std,speed_q50_q50,speed_q75_mean,speed_q75_std,speed_q75_q50,moving_fraction_mean,moving_fraction_std,moving_fraction_q50,fast_fraction_mean,fast_fraction_std,fast_fraction_q50,path_length_mean,path_length_std,path_length_q50,step_length_mean_mean,step_length_mean_std,step_length_mean_q50,step_length_max_mean,step_length_max_std,step_length_max_q50,x_range_mean,x_range_std,x_range_q50,y_range_mean,y_range_std,y_range_q50,rawpos_rows_mean,rawpos_rows_std,rawpos_rows_q50,spike_tetrode_count_mean,spike_tetrode_count_std,spike_tetrode_count_q50,spike_cell_count_mean,spike_cell_count_std,spike_cell_count_q50,spike_event_rows_epoch_mean,spike_event_rows_epoch_std,spike_event_rows_epoch_q50,num_spikes_mean,num_spikes_std,num_spikes_q50,firing_rate_hz_mean,firing_rate_hz_std,firing_rate_hz_q50,log_firing_rate_hz_mean,log_firing_rate_hz_std,log_firing_rate_hz_q50
1,TrackA,89,2,924.5655988764051,2.5009279856781275,926.9835999999996,5.5709686147009245,0.8071725676459238,6.351376601928065,5.000053220419298,0.1525255466009269,5.147521258351649,27.088639009845398,0.6920782359393696,26.419509006222558,-0.009681330961872792,0.0034148651952284406,-0.012982964565988657,5.434206261431021,0.5143466596119028,5.931497989933876,3.9856433167307856,0.5567119954970304,4.5238956128143135,23.660831568996567,0.5089399362813172,24.1528958526617,1.5958816492595065,0.7364757257760991,2.3079369913666032,4.323653874661044,0.9971252479903363,5.2877160083222465,8.099773352434942,1.0833774705246624,9.147227719776957,1.0,0.0,1.0,0.4489898279984543,0.07924706629920034,0.5256091854731311,14590.713031113188,1236.8316076757897,15786.533236326834,0.5264425063562358,0.0432194073489842,0.5682288257262557,7.677294786835712,0.3120048128093942,7.375635565834314,96.46741573033692,1.9988634568932155,98.39999999999999,98.78651685393257,0.39977269137865035,98.4,27710.52808988764,74.9573796334957,27783.0,14.0,0.0,14.0,44.550561797752806,1.4991475926699152,46.0,12790.23595505618,37.47868981674785,12754.0,287.44943820224717,496.7125864228935,34.0,0.3109352679975373,0.5374598591732659,0.036877199684287786,0.2122335539864891,0.31399805746030796,0.03621350341593369
2,TrackA,97,2,918.7691762886604,3.9983275520858097,914.9718999999996,6.6239897530804654,0.06971432943588925,6.557780927840866,6.085620119456248,0.3228397061557526,6.392226205439289,29.294983008316017,0.860933695977646,30.112625651960542,0.002205183835554551,0.00935825859465278,-0.006682505580007382,6.1440705359471055,0.15220390189496252,6.288621041171666,4.455015417303549,0.011477924515843688,4.465916187697993,24.647398310458385,0.4565008688943163,25.080944562640905,1.7849572952449018,0.3349786458668871,1.4668226620545446,4.879409136838731,0.3405269940645083,4.556005147704512,9.817659514053702,0.00804660942962509,9.810017519046227,1.0,0.0,1.0,0.4937799595033895,0.020961697155046304,0.4738722969769901,14614.48472267676,588.9433856225461,14055.155672103883,0.5306615999962073,0.019070172431462445,0.5125503490665846,5.839566671196879,1.936964694223238,4.000000000000008,95.45567010309277,2.796277683074186,92.80000000000001,99.15876288659777,0.7989364808783364,98.40000000000002,27536.81443298969,119.84047213175086,27423.0,15.0,0.0,15.0,48.628865979381445,2.496676502744812,51.0,51333.9381443299,863.3507346491566,50514.0,1059.3505154639174,4934.475664477886,77.0,1.1526889536387124,5.3668750072146985,0.08415558991483786,0.313126957328282,0.5997330805367631,0.08080142584932933
3,TrackA,109,2,912.9972073394496,1.0008706987132485,913.9709000000003,7.320877709232085,0.8708748443038525,6.47365094432933,7.328587049112827,0.32671966388636275,7.010739259990093,32.03341829926753,0.5858857670901183,31.463441905643364,-0.0008951988256894785,0.0030295910627442645,-0.0038425231764335293,7.005116225395057,0.5858062303442034,6.435217208744571,4.886680551562557,0.5775839081942,4.3247805848797025,26.390031946877063,0.48220317542546726,25.920922706882724,1.1863349699401917,0.46944580037071454,0.7296366862009209,4.944623209733383,1.0557755478579978,3.9175166079917645,11.608116643115062,1.3653581064168612,10.279834009853294,0.9976743539583709,0.00226249453069627,0.9954732960975432,0.49317212217239104,0.058518315867387274,0.43624283576096085,14858.93375845127,932.703449803962,13951.55730641618,0.5430716128369216,0.034683797393062106,0.5093296329737215,4.204227725400251,0.6440065701013915,3.577708763999676,98.422018348624,0.7996969377982284,99.19999999999999,100.82201834862404,0.7996969377982343,101.60000000000001,27363.825688073393,29.988635167433888,27393.0,15.0,0.0,15.0,54.54128440366973,1.4994317583716936,56.0,71878.56880733946,2993.8654108821524,68966.0,1320.3853211009175,4383.704806802008,46.0,1.446321000069222,4.8020886796802245,0.050329829975987186,0.36368828716326634,0.7249826121253198,0.04910423862953928
4,TrackA,42,1,915.9721999999995,4.547473508864641e-13,915.9721999999999,7.715385262452628,0.0,7.715385262452628,7.594725514630717,1.7763568394002505e-15,7.594725514630715,34.09780825100322,2.842170943040401e-14,34.097808251003194,-0.01657833041412152,3.469446951953614e-18,-0.016578330414121524,7.58440987261236,7.105427357601002e-15,7.584409872612367,5.329377058197934,0.0,5.329377058197934,31.257164213505494,1.0658141036401503e-14,31.257164213505483,1.3294141255132312,1.3322676295501878e-15,1.32941412551323,5.475584871898881,6.217248937900877e-15,5.475584871898874,11.951466463841317,5.329070518200751e-15,11.951466463841323,1.0,0.0,1.0,0.5215459148362659,2.220446049250313e-16,0.5215459148362657,16021.599320842608,1.2732925824820995e-11,16021.599320842595,0.5836222978596306,5.551115123125783e-16,0.5836222978596312,6.449806198638841,3.552713678800501e-15,6.449806198638845,100.0,0.0,100.0,104.80000000000007,5.684341886080802e-14,104.80000000000001,27453.0,0.0,27453.0,12.0,0.0,12.0,42.0,0.0,42.0,79347.0,0.0,79347.0,1889.2142857142858,6082.893114674778,76.0,2.0625236068455854,6.640914554693667,0.08297195045875846,0.42225225895955243,0.8329398557545453,0.07970855970426621
4,TrackB,84,2,919.9601000000002,1.9852000000000756,919.9601000000002,7.4787134108475515,0.7941493301185037,7.478713410847561,7.1418256505113655,0.8013565213599255,7.1418256505113735,35.02262629021594,0.655684430729334,35.02262629021587,0.007904848308018736,0.0074053506588214885,0.007904848308018752,7.476828632147172,0.6534862320159246,7.4768286321471695,5.399874530655914,0.4824689225600589,5.399874530655907,30.036049321529124,2.145520185117043,30.03604932152915,1.7443037423666015,0.12198798032101206,1.744303742366603,5.230099245808388,0.49714751420477515,5.230099245808399,11.337011138004096,1.8448952812968413,11.337011138004087,1.0,0.0,1.0,0.5064995581601248,0.024522140673153545,0.5064995581601253,16107.047249939431,290.55806423455147,16107.047249939456,0.5842173728898228,0.011799104072012618,0.5842173728898226,7.155417527999329,3.3820826609804605e-15,7.1554175279993295,93.20000000000003,1.1999999999999957,93.20000000000002,102.7999999999998,0.40000000000000524,102.80000000000001,27572.5,59.5,27572.5,13.0,0.0,13.0,42.0,0.0,42.0,80097.0,4659.0,80097.0,1907.0714285714287,6156.4584125432175,26.5,2.073263487379638,6.693896606642935,0.028743570795360628,0.40976685029910875,0.8464171331799606,0.028334749481867462
5,TrackA,58,1,917.9404999999991,1.0231815394945443e-12,917.9405000000002,7.227145224233824,2.6645352591003757e-15,7.227145224233826,7.042540352630629,8.881784197001252e-15,7.042540352630638,32.050451266822215,2.1316282072803006e-14,32.050451266822236,0.0001265184064968197,8.131516293641283e-20,0.0001265184064968198,6.872204610240143,5.329070518200751e-15,6.8722046102401375,4.764664180205954,2.6645352591003757e-15,4.764664180205951,26.077870256199898,7.105427357601002e-15,26.07787025619989,1.583542275534835,1.1102230246251565e-15,1.5835422755348338,5.027868228226794,0.0,5.027868228226794,10.928447485210667,8.881784197001252e-15,10.928447485210675,1.0,0.0,1.0,0.501926432102355,3.3306690738754696e-16,0.5019264321023553,14358.362045067584,1.0913936421275139e-11,14358.362045067573,0.52191349078796,2.220446049250313e-16,0.5219134907879602,5.0596442562694,7.105427357601002e-15,5.059644256269407,100.8000000000001,8.526512829121202e-14,100.80000000000001,102.39999999999992,8.526512829121202e-14,102.4,27512.0,0.0,27512.0,16.0,0.0,16.0,58.0,0.0,58.0,132807.0,0.0,132807.0,2289.7758620689656,7181.263802046948,34.0,2.4944708966092737,7.823234514706505,0.03703943774133508,0.40604035760714546,0.9201120779200344,0.03636995913305415
5,TrackB,117,2,920.4995282051277,1.5177008383888169,921.9788000000003,7.208506256132002,0.026207447396763586,7.234050116139854,7.301211577570056,0.0733525941607436,7.2297163125757775,34.36877624269258,0.4071121026671446,34.76558003669056,-0.009782286469849242,0.004487292893777772,-0.014155958569906736,6.865125137523623,0.02899966671133281,6.893390516273949,4.671683416558676,0.030434986743605105,4.701347772226364,28.188486889392998,0.5491141076746511,28.72369711732682,1.1157349741025309,0.002677743725259791,1.1183449158423486,4.961849111205224,0.2862145906817671,5.240816586591122,11.200772643197613,0.002023548250589953,11.198800332333091,1.0,0.0,1.0,0.49845606212142074,0.015340243396952042,0.5134078818803605,13696.517678424223,237.66373729507242,13928.163635487594,0.4964596389404782,0.0077969784893869186,0.5040591935251735,3.9522847033370776,0.3650914647235216,4.308131845707601,92.020512820513,0.799736971881758,92.80000000000001,100.0,2.0353208868739127e-14,100.00000000000003,27588.666666666668,45.48504027577519,27633.0,16.0,0.0,16.0,58.53846153846154,1.4995068222783032,60.0,148160.15384615384,103.46597073720278,148261.0,2532.6068376068374,7552.82547227553,87.0,2.7514603117196854,8.205587109005407,0.09467405138776926,0.501736995649975,0.927887289875064,0.09045664899045855
6,TrackA,47,1,915.972000000001,7.958078640513122e-13,915.9720000000002,10.699513757739565,0.0,10.699513757739565,10.365340140536206,0.0,10.365340140536206,38.021566376509604,2.842170943040401e-14,38.02156637650963,-0.003835620673603599,3.469446951953614e-18,-0.0038356206736035957,10.007947389024764,0.0,10.007947389024764,6.966986842750617,8.881784197001252e-16,6.966986842750618,33.74879697806226,2.1316282072803006e-14,33.74879697806224,1.188425246668373,6.661338147750939e-16,1.1884252466683722,7.420237413200254,1.7763568394002505e-15,7.420237413200252,18.727825259452775,1.0658141036401503e-14,18.727825259452786,1.0,0.0,1.0,0.5693002586238299,1.1102230246251565e-16,0.5693002586238298,17672.91690309741,0.0,17672.91690309741,0.6437752041052532,0.0,0.6437752041052532,3.5777087639996785,2.6645352591003757e-15,3.577708763999676,101.6,2.842170943040401e-14,101.60000000000002,103.19999999999992,8.526512829121202e-14,103.2,27453.0,0.0,27453.0,15.0,0.0,15.0,47.0,0.0,47.0,41653.0,0.0,41653.0,886.2340425531914,3405.731653281018,63.0,0.9675339885424351,3.7181613120062798,0.0687793950033407,0.29871664358104066,0.5965948515542757,0.06651724498729523
6,TrackB,93,2,921.4609946236545,1.5013631984385312,922.9462999999996,8.908958092477297,2.322334723184796,6.611461887959097,8.803775012724465,0.8874355581324782,7.925831016878847,36.4128516342047,1.2807508137294803,35.14579908398421,-0.006615176123271662,0.011447104357827474,-0.01793984803738991,8.565149623262288,1.7605898477680566,6.823390154836779,5.955747605216693,1.6297066878915916,4.343471436528102,30.970029878685907,2.2306667719939814,28.76322119127468,1.5016408177170042,1.0343056560240251,0.4783975723298443,6.01156775120704,2.9281423271261153,3.114743354749846,14.169800603443058,3.779416567475383,10.430806765741691,0.9915594002253016,0.00835032338475121,0.9832983876798496,0.5309308901771842,0.11224126407455988,0.4198901019449064,15711.742554569446,2815.703939906622,12926.153961159911,0.5690938908393325,0.10288823396247646,0.4673060974353751,3.5777087639996754,5.773159728050814e-15,3.5777087639996696,88.39569892473122,0.3999768752709788,88.0,102.3999999999998,1.9895196601282805e-13,102.4,27617.483870967742,44.99739846798452,27662.0,15.0,0.0,15.0,46.505376344086024,0.49997109408871687,47.0,35169.8064516129,2063.880676398226,33128.0,756.8172043010753,3407.3169779301593,62.0,0.8214181679674714,3.6983992225615308,0.06739545063315848,0.26295136535843006,0.5288080915274191,0.06522152280740529
7,TrackA,60,1,922.9789999999995,5.684341886080801e-13,922.979,6.239357716103994,5.329070518200751e-15,6.239357716103989,6.379387654125025,3.552713678800501e-15,6.379387654125021,31.612983443917923,4.618527782440651e-14,31.612983443917877,0.007551644177175968,7.806255641895632e-18,0.007551644177175976,6.269087468362063,5.329070518200751e-15,6.269087468362068,4.326377548796161,2.6645352591003757e-15,4.326377548796164,24.369461661257372,1.7763568394002505e-14,24.369461661257354,1.0890811596230638,8.881784197001252e-16,1.0890811596230647,4.016489504163438,5.329070518200751e-15,4.016489504163433,9.793416679913898,8.881784197001252e-15,9.793416679913907,0.9963127643422633,1.1102230246251565e-15,0.9963127643422622,0.4459024690019157,2.220446049250313e-16,0.44590246900191594,13329.136772840664,1.0913936421275139e-11,13329.136772840675,0.481857305069795,1.6653345369377348e-16,0.4818573050697952,3.199999999999998,4.884981308350689e-15,3.200000000000003,97.60000000000008,8.526512829121202e-14,97.6,101.60000000000008,7.105427357601002e-14,101.60000000000001,27663.0,0.0,27663.0,15.0,0.0,15.0,60.0,0.0,60.0,117367.0,0.0,117367.0,1956.1166666666666,6865.620457738853,53.5,2.119351216730464,7.438544601490228,0.05796448239884114,0.3978387690875343,0.8356529591889169,0.05634558250996593
