session,row_count,epoch_count,tracka_fraction,trackb_fraction,epoch_duration_sec_mean,epoch_duration_sec_std,epoch_duration_sec_q50,mean_speed_mean,mean_speed_std,mean_speed_q50,std_speed_mean,std_speed_std,std_speed_q50,max_speed_mean,max_speed_std,max_speed_q50,mean_accel_mean,mean_accel_std,mean_accel_q50,std_accel_mean,std_accel_std,std_accel_q50,mean_abs_accel_mean,mean_abs_accel_std,mean_abs_accel_q50,max_abs_accel_mean,max_abs_accel_std,max_abs_accel_q50,speed_q25_mean,speed_q25_std,speed_q25_q50,speed_q50_mean,speed_q50_std,speed_q50_q50,speed_q75_mean,speed_q75_std,speed_q75_q50,moving_fraction_mean,moving_fraction_std,moving_fraction_q50,fast_fraction_mean,fast_fraction_std,fast_fraction_q50,path_length_mean,path_length_std,path_length_q50,step_length_mean_mean,step_length_mean_std,step_length_mean_q50,step_length_max_mean,step_length_max_std,step_length_max_q50,x_range_mean,x_range_std,x_range_q50,y_range_mean,y_range_std,y_range_q50,rawpos_rows_mean,rawpos_rows_std,rawpos_rows_q50,spike_tetrode_count_mean,spike_tetrode_count_std,spike_tetrode_count_q50,spike_cell_count_mean,spike_cell_count_std,spike_cell_count_q50,spike_event_rows_epoch_mean,spike_event_rows_epoch_std,spike_event_rows_epoch_q50,num_spikes_mean,num_spikes_std,num_spikes_q50,firing_rate_hz_mean,firing_rate_hz_std,firing_rate_hz_q50,log_firing_rate_hz_mean,log_firing_rate_hz_std,log_firing_rate_hz_q50
2,37,3,0.2972972972972973,0.7027027027027027,928.3367000000002,1.2142090678875015,927.9845,8.560763706066812,0.35716593118206064,8.682485053408458,9.374035712135003,0.6520607820540107,9.163231929959615,47.16293774661471,2.8329616969703117,46.213218296355606,-0.003649224349511001,0.013920879659896258,-0.005724605779714663,17.725220168138126,0.875802091670759,18.199788995992552,12.354683423758791,1.1310910203822002,13.034458586861026,75.25431130305077,4.472594165167213,76.7274418632578,1.4245439086901237,0.4909902689956511,1.4916037014402108,5.002732332957669,1.4417956081374392,5.5381377363276885,12.443999295528755,0.32511921157298096,12.628075237644,0.9998929892386086,0.0001645196532587482,1.0,0.5122311114373087,0.060586308454934734,0.527679115990385,15220.536619617906,1216.5719609019718,15399.855816081343,0.5470392146096523,0.04345968931712288,0.552520659302574,3.576045612463588,0.24987660578858895,3.6280159867343333,101.9797297297297,1.6454466024604217,103.04999999999998,102.78243243243242,2.1832351464956994,102.14999999999999,27823.243243243243,36.719834396821874,27813.0,7.0,0.0,7.0,12.45945945945946,1.2647955628970369,12.0,34449.67567567567,763.3528479605013,34528.0,2795.027027027027,7714.047489803599,89.0,3.010945831678344,8.30898942471895,0.09590677430495875,0.5565255103509563,0.9735135202566394,0.09158212496729082
3,51,3,0.35294117647058826,0.6470588235294118,935.9329372549014,22.313138512711063,927.9847999999997,7.298769375215398,0.8510846981979588,6.899940729588095,10.247457393788869,0.4653232785403827,10.373041139360826,51.30293351739092,0.8374590051401181,51.07431226398562,-0.017437885243846395,0.0027036160089238654,-0.018422998823193253,15.413447045790795,1.187456564324702,14.952500367585865,9.500333563817778,1.1460781540251734,8.703416295538274,74.27384747282922,1.214983195377395,74.72095550783054,0.6426567985679844,0.17644541157821658,0.5644728592982862,2.2566477250723467,1.1512793614939882,1.760007093763071,9.844397785247457,1.920504989078242,8.965685706994151,0.997194283029917,0.0037989587362489466,1.0,0.36598756139138244,0.05929445664504821,0.32832373927131087,12271.884420587216,1449.3422962575194,11836.444733365925,0.43768078844298924,0.05270427236764605,0.40801257267721214,3.6551715303230994,0.44193813957347466,3.4270978976387614,96.08823529411765,2.7572647044705434,96.75000000000001,100.87941176470585,3.167855965583844,100.8,28051.196078431374,668.7339228665346,27813.0,7.0,0.0,7.0,17.03921568627451,0.8155542879641341,17.0,5353.549019607844,1292.6360407599616,5077.0,317.29411764705884,491.7200021898979,61.0,0.33721276612773815,0.5223197696016454,0.06666865579705272,0.231598910642159,0.3219101057522265,0.06454038594556935
4,127,3,0.33070866141732286,0.6692913385826772,921.7001393700788,2.607095069838254,922.9470000000001,8.281057824852246,1.013980454583162,8.081099493509992,11.832454258652449,0.41517404450070083,11.99212219370221,52.82127651159916,0.28197202006987715,52.900062952287115,-0.009328921502646715,0.006433617960128793,-0.010326305443557879,16.187801885400884,0.9366814454342672,15.900234088430679,9.604240452434958,1.0655355893496097,8.993750878576135,291.22414278091424,156.75221402679313,306.3029650300777,0.5736711278797455,0.15760161170412695,0.4699835697640942,1.8157598255397744,0.869020154306556,1.2941969276544356,12.129005384520033,2.5816450695642583,12.248940122675803,1.0,0.0,1.0,0.3581093506596526,0.05056360838228459,0.3351991621826586,12399.643135599928,1058.3234365435146,11909.335420927237,0.4490142856080379,0.03956949861562992,0.4300951759092538,3.719348485784564,0.29651849730619567,3.5146123541579968,97.95118110236231,3.1079873260955266,99.45000000000002,98.64921259842548,1.7487001274959242,99.45,27622.622047244095,76.89792079491107,27658.0,13.0,0.0,13.0,42.37007874015748,1.2536758526055634,42.0,35165.71653543307,2718.388110562553,36920.0,830.4173228346457,3021.9198060224285,88.0,0.9011136851001558,3.27940046005665,0.09586318754467034,0.3417725723524896,0.5407426881747891,0.09154235185145033
5,126,3,0.31746031746031744,0.6825396825396826,922.9099126984128,6.013405658774493,921.9455000000003,8.619541171736195,1.4483062734265335,9.551769607873684,12.001872168524375,0.9693655711657142,12.64393824448446,54.35591220968529,0.67523777915934,54.209382321627814,-0.014857225282988554,0.009326241148547375,-0.011106667752008114,16.549668256060848,1.187915324559616,17.2888072971937,10.048176261324771,1.1762995728233152,10.613468648490844,190.8238173332128,166.56043782344753,77.39966674881666,0.6021047503548177,0.14066938035006898,0.6244211665411923,2.161525013249354,0.6669477655915463,2.430989148400079,12.87981229116884,3.733879749714945,14.462801102041237,0.9998149795986107,0.00027129316283453734,1.0,0.3749349610481146,0.05282400389704218,0.40774193548387094,12841.240986519235,1550.8069935824076,13680.280681063688,0.46402312216223857,0.05419692977006935,0.4903502161749055,4.534084654374835,1.2241343547140466,3.8710463701691866,100.54285714285705,2.9738657587423827,99.0,102.29285714285716,2.6914452532088347,102.15,27660.25396825397,179.37315616033416,27632.0,13.0,0.0,13.0,42.19047619047619,2.8887144548767862,40.0,54310.09523809524,2648.444801000314,53792.0,1293.7142857142858,4159.939609331846,54.5,1.4013007744149106,4.505267142106549,0.05929798464997477,0.398005976331043,0.7099970669296588,0.057603562882451886
6,163,3,0.32515337423312884,0.6748466257668712,920.8001828220849,5.0163197828318715,921.9785999999999,9.616242545041962,0.25208714573858193,9.508219157997875,13.131901833047666,0.2041076458974812,13.239046644834318,55.226731561554686,0.6387868442034357,54.98969982546269,-0.021192875018745963,0.004408077547183586,-0.02301575963026714,17.544816636603908,0.8127710829791601,17.818990126170867,10.580128080181488,0.622218923233884,10.642534027435973,208.05158847255896,105.33455811806269,203.31855046092468,0.5999406726137512,0.054163039595231624,0.5640180961059007,1.9835716813374582,0.22280354949808845,2.1038028598141487,15.948863703774652,0.6808697568897124,16.18669423603818,1.0,0.0,1.0,0.3895147123772445,0.013400440769479787,0.3941949616648412,13854.75561637145,398.4184688864354,13812.373832221632,0.5021098945637316,0.015302158698079165,0.50430369243936,3.8268067011266624,0.0123166231531676,3.8183766184073606,99.57699386503079,2.349404345595592,99.44999999999999,103.11901840490778,1.7235486344651805,104.4,27595.9754601227,150.9427613011152,27633.0,15.0,0.0,15.0,54.4601226993865,2.6613465819236413,53.0,144156.39877300613,4063.272658060347,142617.0,2654.7423312883434,8503.066765122714,199.0,2.883465008434255,9.233515266203328,0.2177310065802905,0.5367235241477596,0.9045290286036941,0.19698929644084626
7,183,3,0.33879781420765026,0.6612021857923497,927.7821049180362,14.434805478430572,917.9749000000002,8.115794878861845,1.8611033455232922,8.472853311600803,12.484003766169755,1.2907531427155792,12.950009597699566,56.88566348933712,0.5960327018928476,56.63926274665785,-0.018802333173140822,0.016230930080900936,-0.020769778659350244,15.885647006333286,1.9078162522784012,17.11095364798335,8.970923523120252,1.601960164178978,9.60320830629108,81.06081632086537,2.3372987826913083,82.37125104935949,0.4530705546422113,0.16011638772762712,0.45264830935687983,1.336171023105183,0.4958873743266059,1.203822646165826,11.254683070452495,5.744514633952423,11.649313858408005,0.9968537379450938,0.0038625542808716634,0.9990848614973074,0.31859684851443204,0.06739148353751742,0.3391644081517722,12029.090511269313,2074.4953108563027,13009.524673950964,0.43236300468903605,0.07350947761947095,0.4579206150633919,3.8463356621434985,0.26052659225246144,3.871046370169175,100.33278688524616,1.5941976049920594,99.45000000000002,102.47459016393424,3.8745874761996237,102.6,27806.573770491803,432.85527278856716,27513.0,16.0,0.0,16.0,61.01092896174863,0.8164234345373517,61.0,68531.73224043715,3744.570114660074,66323.0,1123.5464480874316,4264.527973645679,172.0,1.2121143228614055,4.599510909108088,0.18301153985800697,0.37817743337423554,0.6115457547274569,0.16806333968916873
8,207,3,0.3333333333333333,0.6666666666666666,922.9689333333341,3.7302134079551093,921.9793,9.072918596226684,0.9634967035386314,9.669596771455549,13.12315919842003,0.24152583426227386,13.177731573562117,55.292223832824156,0.952781260554277,55.88414012250485,-0.020071925932184334,0.008023052893831987,-0.015422906980332933,16.33643839801946,0.6548248699831525,16.753934241115672,9.336021499152253,0.8968622826235919,9.864596083240746,157.3976106642161,109.12602733853096,83.27194543307391,0.4937063330173248,0.10867675588965663,0.5059949052936911,1.4672074072172925,0.4482290539326767,1.5909424375614418,14.12313415937021,3.4350094504956705,16.418158241433048,1.0,0.0,1.0,0.354310640525327,0.051038050482456424,0.3840177177504266,12842.203208207722,1006.8196755179969,13275.415402859138,0.46421613516888277,0.03569440496401677,0.48200622332652454,3.8016089930834975,0.2454975839121033,3.6280159867343387,99.59999999999968,4.38349175886072,101.25,106.0499999999996,1.2903487900563986,106.20000000000002,27662.333333333332,111.35927841400975,27633.0,14.0,0.0,14.0,69.0,0.0,69.0,67835.66666666667,4186.682404429012,69034.0,983.1256038647343,4162.414909393761,49.0,1.065066117990473,4.508203363049639,0.05332019987893048,0.30191659775051344,0.5972044646762559,0.051947270383609245
9,182,3,0.33516483516483514,0.6648351648351648,919.9872434065933,1.605297006662625,919.9434000000001,9.495847141033387,1.2166375367428364,9.906442872070762,13.698232116161254,0.706246452664917,14.075667518505874,57.90371211721889,0.5148153633468407,58.17406053661545,-0.017507920139106178,0.011944612607128658,-0.02190324628273607,17.44577911773274,0.8628679409770154,17.931110698237237,10.059530849010892,0.9628866280168644,10.325448545684514,291.931899150549,219.40537339548743,220.22681831206228,0.5616098285546935,0.140483156877956,0.5837288367009834,1.6211612616550124,0.49795747344795827,1.5821348464941234,15.38427921527307,3.8459429209246054,17.254936080464905,0.9999636099125823,5.1252005790805305e-05,1.0,0.3562885247076047,0.031904300364685015,0.3564626344867694,13129.192250668544,1177.0269674819517,13328.316660385759,0.4762306811293448,0.043144452333411284,0.48447227146907634,3.691818176470904,0.08985936637430778,3.6280159867343578,98.89862637362631,1.4871651559469328,98.55000000000001,101.97445054945064,1.6755656664242315,102.15,27573.335164835164,48.50164577161528,27573.0,13.68131868131868,0.46596516587064074,14.0,60.73626373626374,2.045284927812675,61.0,46827.35164835165,1954.0463842876952,45864.0,771.1428571428571,3715.9501353171113,31.5,0.8382537962325399,4.03893352616158,0.03427620211434926,0.26880478831084775,0.5253643212667667,0.03370067049797577
10,177,3,0.327683615819209,0.672316384180791,920.2167175141236,1.1119377091941773,919.9769999999999,9.264075085861997,1.1571832920548932,10.046793738880309,13.910793100590588,0.646061731722185,14.346669360279122,58.27934960229322,1.4110616719348823,57.75479756781423,-0.02632482499131484,0.006780597792627739,-0.022379106751844548,17.10931517766911,0.6575800471866545,17.46686949639581,9.527108058990411,1.1221989031854362,10.178940671474786,294.5913689667715,301.34197312011594,85.60212491655513,0.5287135910572337,0.1603886883451131,0.6213087656790052,1.387102382664426,0.3934590353067236,1.5789870711795058,13.556788184517567,4.085651151007938,16.035502278310744,0.9995716865089844,0.0006135094235780735,1.0,0.329391989866458,0.03923023117774834,0.3554879814653924,12733.448477348831,1222.1439128299135,13525.155727934663,0.4616703953293886,0.043921389552329805,0.489633845995535,4.352817114099899,0.8284507401325466,4.074923312161823,97.68559322033923,3.600777350718257,99.0,106.19745762711871,0.3658544362769484,106.20000000000002,27582.508474576272,37.213253007067166,27573.0,14.0,0.0,14.0,59.01129943502825,0.8164183911663859,59.0,40396.3615819209,1218.5311868964648,39656.0,684.6610169491526,3398.979615629281,28.0,0.7440011071243253,3.6937372437435894,0.030379327128283437,0.23448958719368704,0.5058483331613136,0.02992701320888883
11,182,3,0.32967032967032966,0.6703296703296703,922.6667170329681,4.012582099270965,924.9486999999999,10.140136670790982,1.302418616778523,10.54440483170084,14.780036347902548,0.871119404228403,15.260427868013624,61.29420403793513,0.6809748374087344,60.85783016190447,-0.02306113855344723,0.009048826957516234,-0.025759700861840217,18.31119001463201,1.016430265862561,18.41868661846224,10.420665598565478,1.0056153104062253,10.554336708646186,100.03973813975391,21.13140155568881,88.72577400368898,0.551132295397002,0.1335702585767983,0.5358033308458774,1.64186977704397,0.38180431732888515,1.5454462995901257,16.05811237229013,4.73330762642494,18.22625789028342,1.0,0.0,1.0,0.3485053017024323,0.033006102287117235,0.34523637936004614,13838.580157177115,1297.1055771549711,14068.773068575005,0.5002813138076836,0.04513084564171534,0.5069645442893952,3.835683336762178,0.16321912554005852,3.8448016853928815,99.75412087912126,1.4721674410199523,99.45000000000002,100.0285714285713,4.029224578803767,97.65,27653.26923076923,120.07931919947036,27721.0,13.32967032967033,0.4700933985979657,13.0,60.714285714285715,1.7115362566792995,60.0,43424.269230769234,1503.041264536477,43714.0,716.3351648351648,3622.15849265411,29.5,0.7765243897223975,3.927849616957088,0.03185915789873843,0.2416496893693139,0.5102490492516707,0.03136204591302312
